income,debt_ratio,credit_history_years,num_accounts,default
53356.82,0.699,2,5,0
49753.66,0.259,8,3,0
67825.9,0.6859,6,4,0
87903.99,0.2955,6,4,0
42036.97,0.55,7,3,0
42658.41,0.5859,7,5,0
65662.41,0.4589,6,5,0
60228.37,0.3137,4,7,0
77700.61,0.2489,9,4,0
58758.92,0.1232,6,4,0
44610.62,0.3128,4,9,0
58859.82,0.5572,3,6,0
66630.55,0.7568,4,4,1
62307.23,0.7098,3,2,0
57609.11,0.6362,2,6,0
66000.12,0.6519,5,2,0
67539.43,0.5655,2,5,0
70732.38,0.2822,6,6,0
59730.65,0.735,3,4,0
47493.23,0.5695,6,3,0
52200.71,0.4923,9,7,0
68097.63,0.1777,1,2,0
37745.96,0.4129,6,6,0
55530.1,0.4223,9,4,0
44099.92,0.7052,4,6,0
50431.17,0.4827,2,4,0
69176.78,0.3663,4,4,0
52866.49,0.7838,1,4,0
50696.55,0.1775,3,9,0
29602.16,0.3958,9,7,0
61193.8,0.1294,5,3,0
59682.26,0.6179,6,3,0
82448.82,0.7427,3,6,0
45383.33,0.296,5,6,0
53287.25,0.7008,8,4,1
53740.76,0.3046,6,9,0
73661.8,0.7375,4,4,0
48570.57,0.6278,2,9,0
54185.32,0.6634,9,4,0
59118.45,0.1126,1,2,0
52799.14,0.774,1,2,0
43303.5,0.6087,4,5,0
52911.35,0.3133,7,4,0
66104.48,0.6806,1,7,0
34602.27,0.2971,9,5,0
51994.55,0.7109,4,6,1
39498.19,0.1788,3,4,0
67925.7,0.5926,1,2,0
27152.2,0.4785,4,9,0
41616.17,0.1676,9,7,0
55658.18,0.2693,6,4,0
73482.86,0.1087,6,3,0
49013.75,0.4281,1,3,0
41672.01,0.3109,2,9,0
78217.36,0.5189,6,5,0
28279.79,0.3081,2,3,0
17017.91,0.3099,3,5,0
56600.22,0.6202,4,2,0
42469.19,0.1337,5,4,0
34681.51,0.732,9,2,0
60625.35,0.6966,4,2,0
53657.01,0.5675,9,8,0
41538.82,0.5153,3,1,0
30795.43,0.7246,8,7,0
63086.86,0.2297,1,5,0
59753.02,0.1553,9,8,0
48512.36,0.2677,9,1,0
77699.55,0.6562,2,7,0
33948.73,0.1243,4,5,0
27117.12,0.508,8,4,0
39621.38,0.7968,7,7,1
49316.21,0.699,1,2,1
53650.09,0.465,5,1,0
46381.46,0.1445,7,1,0
55280.83,0.682,4,1,0
31226.91,0.5193,1,5,0
71656.47,0.1805,9,7,0
48767.73,0.1657,5,2,0
66759.44,0.7367,2,8,0
55140.88,0.5684,8,4,0
56851.3,0.6805,2,3,0
58546.51,0.7153,3,8,0
56715.63,0.5002,1,2,0
59640.84,0.4622,2,3,1
69937.29,0.4013,7,3,0
52947.82,0.3219,2,1,0
60635.06,0.4042,6,6,0
48653.96,0.6417,3,2,1
71601.76,0.5213,4,1,0
39854.12,0.7248,8,2,0
77014.11,0.4104,3,6,0
49397.63,0.525,6,4,0
28538.37,0.5419,1,6,0
51921.57,0.5142,7,9,0
39784.23,0.5918,8,8,0
62609.65,0.2662,8,1,0
40210.64,0.4587,3,8,0
43307.25,0.173,1,9,0
21656.89,0.3692,9,6,0
43215.41,0.4414,6,5,0
13641.81,0.5566,9,6,0
26241.46,0.7654,7,6,1
61406.22,0.5205,1,9,0
61787.0,0.6205,1,4,0
56381.86,0.4544,6,2,0
35495.36,0.5439,5,9,1
49284.33,0.1497,9,2,0
49945.96,0.2781,2,9,0
32624.53,0.3533,8,2,1
72550.97,0.4307,5,8,0
63160.43,0.132,2,9,0
46685.54,0.198,6,9,0
50403.29,0.2938,8,9,0
53125.74,0.7801,4,2,0
19373.98,0.3319,2,4,0
46292.34,0.4374,5,7,0
39770.24,0.2373,2,2,0
34975.7,0.5275,2,1,1
45783.5,0.2965,6,3,0
76965.3,0.2449,9,4,0
59612.64,0.4616,4,8,0
41432.32,0.1039,6,6,0
58588.74,0.1054,7,2,0
